size,income,cum_sum,grouping
2,44833,26006,group
2,44917,26032,group
2,44937,26046,group
2,44987,26076,group
2,45000,26234,group
2,45091,26290,group
2,45100,26316,group
2,45123,26342,group
2,45244,26382,group
2,45351,26430,group
2,45400,26476,group
2,45456,26514,group
2,45504,26628,group
2,45550,26716,group
2,45558,26808,group
2,45589,26836,group
2,45711,26862,group
2,45771,27016,group
2,45876,27046,group
2,45959,27118,group
2,45970,27146,group
2,45972,27344,group
2,46000,27516,group
2,46021,27652,group
2,46051,27678,group
2,46100,27704,group
2,46166,27748,group
2,46387,27774,group
2,46403,27808,group
2,46500,27846,group
2,46538,28088,group
2,46563,28114,group
2,46594,28144,group
2,46600,28170,group
2,46613,28202,group
2,46800,28252,group
2,46823,28272,group
2,46904,28314,group
2,47000,28364,group
2,47159,28398,group
2,47236,28430,group
2,47350,28528,group
2,47366,28556,group
2,47500,28582,group
2,47573,28690,group
2,47593,28764,group
2,47665,28908,group
2,47700,28952,group
2,47779,28972,group
2,47986,28996,group
2,48000,29150,group
2,48103,29208,group
2,48191,29262,group
2,48308,29286,group
2,48402,29316,group
2,48500,29442,group
2,48561,29592,group
2,48607,29686,group
2,48614,29742,group
2,48617,29766,group
2,48665,29792,group
2,48716,29842,group
2,48717,29894,group
2,48762,29944,group
2,48872,30024,group
2,48900,30046,group
2,48917,30072,group
